Post Code,Borough,Neighbourhood,Longitude,Latitude
4109,Brisbane - South,"ALTANDI, BANOON, MACGREGOR, ROBERTSON, SUNNYBANK, SUNNYBANK HILLS, SUNNYBANK SOUTH",153.057452,-27.57925
4111,Brisbane - South,"GRIFFITH UNIVERSITY, NATHAN",153.052226,-27.550643
4112,Brisbane - South,KURABY,153.087839,-27.611129
4113,Brisbane - South,"EIGHT MILE PLAINS, FRUITGROVE, RUNCORN",153.077926,-27.590722
4115,Brisbane - South,"ALGESTER, PARKINSON",153.022499,-27.643845
4116,Brisbane - South,"CALAMVALE, DREWVALE, STRETTON",153.050793,-27.633988
4120,Brisbane - South,"GREENSLOPES, LORETO HILL, STONES CORNER",153.044217,-27.508707
4121,Brisbane - South,"EKIBIN, HOLLAND PARK, HOLLAND PARK EAST, HOLLAND PARK WEST, MOUNT THOMPSON, TARRAGINDI, WELLERS HILL",153.053952,-27.526966
4122,Brisbane - South,"MANSFIELD, MOUNT GRAVATT, MOUNT GRAVATT EAST, UPPER MOUNT GRAVATT, WISHART",153.088155,-27.543316
4151,Brisbane Inner City,COORPAROO,153.058605,-27.500807
4152,Brisbane Inner City,"CAMP HILL, CARINA, CARINA HEIGHTS, CARINA NORTH, CARINDALE, WHITES HILL",153.096812,-27.501349
4153,Brisbane - South,"BELMONT, BELMONT HEIGHTS",153.131429,-27.510035
4154,Brisbane - East,"GUMDALE, RANSOME, WAKERLEY",153.158727,-27.49069
4155,Brisbane - East,CHANDLER,153.156446,-27.5181
4156,Brisbane - South,"BURBANK, MACKENZIE",153.154177,-27.558858
4157,Brisbane - East,"CAPALABA, CAPALABA BC, CAPALABA WEST, SHELDON",153.207096,-27.568178
4158,Brisbane - East,THORNESIDE,153.1998,-27.487689
4159,Brisbane - East,BIRKDALE,153.209624,-27.502289
4160,Brisbane - East,"EROBIN, ORMISTON, WELLINGTON POINT",153.243312,-27.506409
4161,Brisbane - East,ALEXANDRA HILLS,153.226864,-27.533407
4163,Brisbane - East,CLEVELAND,153.26571,-27.535216
4164,Brisbane - East,"PINKLANDS, THORNLANDS",153.260833,-27.569965
4165,Brisbane - East,"MOUNT COTTON, POINT HALLORAN, POINT TALBURPIN, REDLAND BAY, VICTORIA POINT, VICTORIA POINT WEST",153.263801,-27.623975
